2026-03-02 15:47:41 | INFO     | backend.app.main:<module>:32 | user=system | GenAIsummarizer application started.
2026-03-02 15:47:54 | ERROR    | backend.app.summarizer.engine:summarize_text:69 | user=system | Summarisation failed: Connection error.
2026-03-02 15:47:54 | ERROR    | backend.app.ui:ui_summarize:82 | user=system | UI summarisation error: Summarisation failed: Connection error.
2026-03-02 15:50:30 | INFO     | backend.app.main:<module>:32 | user=system | GenAIsummarizer application started.
2026-03-02 15:53:43 | WARNING  | backend.app.main:<module>:23 | user=system | Missing Azure OpenAI env vars: AZURE_OPENAI_API_KEY, AZURE_OPENAI_ENDPOINT – summarisation will fail until credentials are provided.
2026-03-02 15:53:43 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 15:55:16 | WARNING  | backend.app.main:<module>:23 | user=system | Missing Azure OpenAI env vars: AZURE_OPENAI_API_KEY, AZURE_OPENAI_ENDPOINT – summarisation will fail until credentials are provided.
2026-03-02 15:55:17 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:27:43 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:27:43 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:27:43 | INFO     | backend.app.api:get_token:84 | user=system | Token issued for user: testuser
2026-03-02 16:27:44 | INFO     | backend.app.summarizer.service:summarize_from_text:83 | user=system | Service: text summarised – length=short, user=anonymous
2026-03-02 16:27:44 | INFO     | backend.app.summarizer.service:summarize_from_text:83 | user=system | Service: text summarised – length=short, user=anonymous
2026-03-02 16:27:44 | INFO     | backend.app.summarizer.service:summarize_from_text:83 | user=system | Service: text summarised – length=long, user=anonymous
2026-03-02 16:27:44 | INFO     | backend.app.summarizer.utils:extract_text_from_url:38 | user=system | Fetching URL: https://example.com
2026-03-02 16:27:44 | INFO     | backend.app.summarizer.utils:extract_text_from_url:38 | user=system | Fetching URL: https://invalid-url.com
2026-03-02 16:32:26 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:32:26 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:33:00 | INFO     | backend.app.summarizer.utils:extract_text_from_url:38 | user=system | Fetching URL: https://www.worldjournal.com
2026-03-02 16:33:03 | INFO     | backend.app.summarizer.engine:summarize_text:75 | user=system | Summary generated – length=medium, chars=80
2026-03-02 16:33:03 | INFO     | backend.app.summarizer.service:summarize_from_url:101 | user=system | Service: URL summarised – length=medium, user=anonymous
2026-03-02 16:33:17 | INFO     | backend.app.summarizer.utils:extract_text_from_url:38 | user=system | Fetching URL: https://www.cnn.com
2026-03-02 16:33:23 | INFO     | backend.app.summarizer.engine:summarize_text:75 | user=system | Summary generated – length=medium, chars=1484
2026-03-02 16:33:23 | INFO     | backend.app.summarizer.service:summarize_from_url:101 | user=system | Service: URL summarised – length=medium, user=anonymous
2026-03-02 16:33:41 | INFO     | backend.app.summarizer.utils:extract_text_from_url:38 | user=system | Fetching URL: https://www.netflix.com
2026-03-02 16:33:44 | INFO     | backend.app.summarizer.engine:summarize_text:75 | user=system | Summary generated – length=medium, chars=777
2026-03-02 16:33:44 | INFO     | backend.app.summarizer.service:summarize_from_url:101 | user=system | Service: URL summarised – length=medium, user=anonymous
2026-03-02 16:35:33 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:35:33 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:36:13 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:36:14 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:36:26 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:36:26 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:36:34 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:36:34 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:36:44 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:36:44 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:36:54 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:36:54 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:37:03 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:37:03 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:37:29 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:37:30 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
2026-03-02 16:37:40 | INFO     | backend.app.main:<module>:21 | user=system | Azure OpenAI configuration OK.
2026-03-02 16:37:40 | INFO     | backend.app.main:<module>:39 | user=system | GenAIsummarizer application started.
